StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q16,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q5,Q17,Q7,Q6,Q13,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What population of students do you teach primarily?,"For different student populations, how satisfied are you with the current academic schedule at Fresno Pacific? - Traditional Undergraduate","For different student populations, how satisfied are you with the current academic schedule at Fresno Pacific? - Graduate","For different student populations, how satisfied are you with the current academic schedule at Fresno Pacific? - Degree Completion","Based on the previous question, why are you satisfied/dissatisfied with the current schedule? Please provide examples alongside your reasoning if you have them.","For different student populations, do you think that the current course schedule meets students' expectations and needs? - Traditional Undergraduate","For different student populations, do you think that the current course schedule meets students' expectations and needs? - Graduate","For different student populations, do you think that the current course schedule meets students' expectations and needs? - Degree Completion","For different student populations, is the current course schedule consistent for meeting the needs of students from semester to semester? - Traditional Undergraduate","For different student populations, is the current course schedule consistent for meeting the needs of students from semester to semester? - Graduate","For different student populations, is the current course schedule consistent for meeting the needs of students from semester to semester? - Degree Completion","For TUG faculty, how open are you to the implementation of a more flexible course schedule (e.g., hybrid courses, online courses, long-form courses offered once per week, etc.)?","Based on the previous question, why are you open/not open to implementing these kinds of courses? Or, if you are open, what are your concerns?","For TUG faculty, would you be open to teaching earlier in the day if it meant finishing earlier in the day? Starting at 7:45AM to finish by 3:00PM, for example.","Based on your answer from the previous question, please explain why you selected the option that you did.",There are currently 3 options for modifying the Course Schedule. Option 1 is based on a primarily Monday through Thursday schedule and Option 2 (a and b) is based on a Monday through Friday Schedule. Please read through the details of the schedule here and select which one you like best.,"A substantial change to the current academic schedule would significantly affect my work (e.g. ability to balance teaching, research and writing, and personal commitments).","Based on your answer from the previous question, please explain why you selected the option that you did.","Please rank your concern (0 = not concerned, 10 = very concerned) regarding potential changes to the academic schedule in the different categories below. - Impact on students","Please rank your concern (0 = not concerned, 10 = very concerned) regarding potential changes to the academic schedule in the different categories below. - Disruption of research activities","Please rank your concern (0 = not concerned, 10 = very concerned) regarding potential changes to the academic schedule in the different categories below. - Scheduling conflicts with other departments","Please rank your concern (0 = not concerned, 10 = very concerned) regarding potential changes to the academic schedule in the different categories below. - Scheduling conflicts with other personal commitments","Please rank your concern (0 = not concerned, 10 = very concerned) regarding potential changes to the academic schedule in the different categories below. - Implementation of the new schedule",Are there any other concerns you'd like to share?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID11_TEXT""}"
9/16/24 7:24,9/16/24 7:27,Survey Preview,,100,154,TRUE,9/16/24 7:27,R_6o8bEydXNZoTYMp,,,,,34.1624,-118.1275,preview,EN,,3,,,,,,,,,,,,,,,,,,,,,,
9/16/24 9:04,9/16/24 9:08,IP Address,162.212.34.232,100,258,TRUE,9/16/24 9:08,R_19pUf3T5jheY6dP,,,,,36.7405,-119.7508,anonymous,EN,Traditional Undergraduate,4,,,I've only experienced this schedule.,3,,,4,,,Very open,I'm very open to exploring what will be best for our students and faculty.,Neutral,I think those times are more challenging for our student population but understand how limiting times are for scheduling.,,Somewhat agree,,10,,,,,I wonder how the schedule change will help our student athletes. Especially since all the sports do not line up. Some students miss Weds/Thurs/Fri courses. Some others have games earlier in the week. 
9/16/24 9:00,9/16/24 9:10,IP Address,162.212.34.213,100,605,TRUE,9/16/24 9:10,R_3HGBqen7OLeKTh7,,,,,36.7405,-119.7508,anonymous,EN,Teach in more than one area,2,5,5,"It is increasingly more difficult to secure adjunct faculty to teach 3/50 min sessions a week for 16 weeks. 
I don't believe a 50 min block provides adequate time for quality conversations, teaching, interaction
Grad & DC seems to be working well within the business programs",2,3,3,2,3,3,Very open,"any effort to eliminate student-athletes missing class time is an improvement, students have time to ""settle-in"" focus on the topic, course, and faculty can prep and provide more interaction, engagement opportunities",somewhat open,"I  am not sure it is best for students - our commuter students would be driving in foggy conditions, a later start seems safer and more logical.",Option 1,Strongly disagree,,1,1,1,1,0,
9/16/24 9:07,9/16/24 9:26,IP Address,107.139.97.49,100,1143,TRUE,9/16/24 9:26,R_78KQHC20XpCFWRr,,,,,36.7943,-119.8856,anonymous,EN,Traditional Undergraduate,4,5,5,"I like that my classes are MWF with TTH off. I have another job so this works with my schedule. I'm afraid my classes will be 4 days a week with the new schedule which will force me to quit my 2nd job. If all of my classes can be 2 days a week, I'd be happy. ",4,3,3,4,6,6,Very open,"Students need online options, long form courses would be good for some. ",somewhat open,"I would be open if it were 2 days a week, but not 4 days a week. Some of us have another job to supplement our income. ",Option 1,Somewhat agree,"I think we can make it work. My concern is having to come in 4 days a week rather than the 3 I do now. I have another job. If I can get all 4 of my classes scheduled for 2 days a week, I'd be happy. ",0,,,10,6,Will we have an option to work with the registrar's office to schedule our courses?
9/16/24 9:14,9/16/24 9:28,IP Address,162.212.34.237,100,813,TRUE,9/16/24 9:28,R_5NCWZDLbDpfXB88,,,,,36.7405,-119.7508,anonymous,EN,Teach in more than one area,4,6,5,"Although I haven't felt like the TUG schedule posed as serious a problem as others seem to do, I do acknowledge that it would be nice to waste less time leaving spaces for a small number of 4-unit classes and that labs should have to conform to the regular schedule. I have also struggled, when advising, to get commuters to be willing to come in more than twice a week.",2,6,4,2,6,4,somewhat open,"I am not at all open to hybrid courses or increasing online offerings for this reason. I do think that 4-unit classes should have the 4th unit be online, but I do not think 3-unit classes should meet only once a week or anything like that. I would be extremely opposed to that. But I am very open to a MW/TR schedule. ",somewhat open,I have health issues that make it hard for me to teach first thing in the morning.,Option 1,Somewhat disagree,"I'm more worried about the initial work of taking a MWF class and reframing it as a MW class. Some of my classes are heavily based on the idea of meeting three times a week. But after that work is done, I don't think it would bother me.",,,2,,2,
9/16/24 9:27,9/16/24 9:40,IP Address,162.212.34.235,100,754,TRUE,9/16/24 9:40,R_30ictX9ciy0rOCJ,,,,,36.7405,-119.7508,anonymous,EN,Traditional Undergraduate,3,6,3,"My courses are scheduled in the afternoon on either T/Th or M/W (similar to the proposed first option for re-designing the master schedule).  This works well for me. 

NOTE: your sliding scale for the questions following this one erroneously range from ""1, strongly disagree"" to ""5, strongly disagree"".  It looks like this form will need to be reformatted and sent anew?  In any case, I'm answering based on the assumption that 1 = strongly disagree, 3 = neutral, 5 = strongly AGREE, etc:",4,6,3,4,6,3,Neutral,"I think changing the schedule could potentially help us, but the bigger issue currently in place at FPU is: there is no coordinated scheduling occurring across the university.  If we change the schedule without doing anything else, we will likely face the same issues we currently face: students staying extra semesters because too many of their required courses conflict with each other every semester.",Very opposed,"In my experience, 7:45 start time guarantees tardy students; even strong ""A""-level students have a harder time getting to class before 8am.  If we are going to change the schedule, I would start no earlier than 8am to ensure student success.",Option 1,Somewhat disagree,"I can't know without trying out a new schedule, but my hunch is that no substantial difference would take place.",,,,4,4,
9/16/24 10:04,9/16/24 10:12,IP Address,162.212.34.228,100,490,TRUE,9/16/24 10:12,R_607BC3EaQicJFgU,,,,,36.7405,-119.7508,anonymous,EN,Traditional Undergraduate,4,3,2,,4,4,4,4,4,4,Somewhat opposed,"I find that our demographic of TUG students need much ""hand-holding.""  That happens best in person, face to face.  Further, the challenge of AI means that the more is done apart from F2F and on a digital device is likely to dilute the learning that is supposed to take place.",Somewhat opposed,"Currently, starting early is hard as I have young kids that at times I need to get to school.  Otherwise, I would have no objection.  I actually think it is healthy for students to learn to have to start early, even if undoubtedly they will be less sharp than later in the day.  That is on the assumption that they have the option over their evening, and not forced to do practices after 10PM.",,Neither agree nor disagree,It's hard to know.,5,6,4,4,4,
9/16/24 9:38,9/16/24 10:13,IP Address,166.205.87.51,100,2104,TRUE,9/16/24 10:13,R_5ekKJtIkj2SN27t,,,,,37.5281,-121.9732,anonymous,EN,Graduate,4,4,3,"We are fortunate to have most of our TUG major courses on Tuesday/Thursday since our students all work & it is not feasible to be in class, on campus every day. I'm worried about that changing for our students. DC courses are way too late...6pm to 10pm is not optimal for learning or teaching for that matter. ",3,3,3,3,3,3,Very open,I'm open because we need to be creative & flexible for our student population. Students have many responsibilities outside of class/school. ,Very open,Earlier is better than later in the day. Students will be able to have more time to work outside of school when we make room to do that in our course schedules. ,Option 1,Strongly disagree,"This creates more uniformity for our students, thus my schedule as well as a faculty member. Also, I just want to draw attention to the previous scale that only had disagree options... the likert responses was incorrect therefore I just put neutral.",2,0,2,4,2,I appreciate the discussion of changing this because I do see challenges with the current structure & how inefficient it can be. I also wonder what are any potential effects this will make that are negative. We never really know until it's implemented. Even then I think it's important we take a look at changing because we need to meet the needs of our students. 
9/16/24 10:07,9/16/24 10:16,IP Address,162.212.34.219,100,544,TRUE,9/16/24 10:16,R_7FVXsksNRfp5Q9j,,,,,36.7405,-119.7508,anonymous,EN,Traditional Undergraduate,2,3,2,Degree completion 6 week course duration too short to accommodate learning scientific material well. Undergrad course schedule as currently arranged leads to inefficiencies and course conflicts.,2,3,2,2,3,3,Somewhat opposed,Shortened time frame for science courses does not allow enough time for sequencing and building comprehension.,somewhat open,If it helps students then I can accommodate earlier times but 7:45 5x per week would incur some difficulties for other life requirements.,Option 1,Neither agree nor disagree,"The altered schedule would have benefits as well as drawbacks, so it has a net neutral impact on me.",2,4,4,3,3,
9/16/24 11:04,9/16/24 11:16,IP Address,162.212.34.227,100,708,TRUE,9/16/24 11:16,R_7321hRUMTlPgBuk,,,,,36.7405,-119.7508,anonymous,EN,Graduate,6,5,6,"I am satisfied with the schedule for seminary students, as it has been designed to work with our population, and has some flexibility to work with faculty needs. We have also been adapting to TUG needs by making classrooms available. ",3,4,6,3,5,6,Does not apply,,Does not apply,,Option 1,Somewhat agree,"I support TUG changing schedules. But I am worried about whether the TUG is being made with consideration of other needs, particularly Grad and SEM. ",1,2,10,3,8,"As noted above, I support TUG changing schedules. But I am worried about whether the TUG is being made with consideration of other impacts, particularly Grad and SEM. When this point was raised in one of the discussion meetings, it did not seem that the respondent was prepared to be taking into account other impacts. I recognize others will be affected too, and we will need to make changes - we have been accommodating for years, and been doing a lot of change recently. But it's just important to know that a decision is being made as a whole-level scheduling change. Even framing it as a TUG schedule change belies the sequelae for other program that are implied by the change; we can do more to account for that. We often have a historical culture of big changes to respond to key problems, without thinking through the other implications, especially to those programs that aren't the cause/location of the problem, I'd like to get ahead of this so it's not one of them.  "
9/16/24 13:23,9/16/24 13:27,IP Address,107.201.46.134,100,247,TRUE,9/16/24 13:27,R_1G2FvzqDYo5u4g4,,,,,36.8875,-119.7721,anonymous,EN,Degree Completion,6,6,5,I teach mainly in DC so I am not aware of difficulties in the other populations.,6,6,5,6,6,5,Very open,Because that seems to serve the needsof the students. ,Very open,I teach a few courses in TUG and I would not mind. ,Option 1,Strongly disagree,,1,0,0,0,0,
9/16/24 14:24,9/16/24 14:29,IP Address,166.205.87.32,100,295,TRUE,9/16/24 14:29,R_71jO5zPITlOSuBg,,,,,37.5281,-121.9732,anonymous,EN,Traditional Undergraduate,3,5,6,,2,5,6,2,4,5,Very open,Having flexibility maximizes the degree to which we can serve students in terms of their schedules.,Very open,"My lectures are more designed to be taught in a block format, so that is preferable to me. In addition, students prefer coming to class two times rather than three.",Option 1,Somewhat disagree,I have as much as possible to try to structure my day to fit option one already.,2,2,4,3,5,
9/16/24 14:34,9/16/24 14:43,IP Address,162.212.34.206,100,498,TRUE,9/16/24 14:43,R_6sRo3dQ66Nm6Vi4,,,,,36.7405,-119.7508,anonymous,EN,Traditional Undergraduate,1,3,3,"It does not fit the needs of students, especially student athletes. The preponderance of courses offered during peak times make it hard for them to get the classes they need. We are not efficient in classroom usage.",1,3,3,1,3,3,Very open,"I want our students to be successful and for the university to be fiscally strong. We need to be better about curriculum mapping, especially for GE courses.",Very open,"Well, I already DO teach 7:45 classes on a regular basis, and I am NEVER finished by 3, so for me, this would be a dream come true. And if it would lead to better offerings for our students, it would be a win-win.",Option 1,Somewhat agree,"It would require some substantial changes to course formatting and to my own personal schedule, but I am very willing to make those sacrifices if it would be for the greater good.",10,4,10,6,9,"I want to thank the subcommittee for all their work. I appreciate the many chances to give feedback, and I hope we can launch a speedy change as soon as humanly possible to try to fix what is clearly an inefficient and aglutinative system."
