StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q17,Q18,Q2,Q14,Q3,Q4,Q13,Q5,Q6,Q7,Q8,Q9,Q10,Q15,Q11_1,Q11_2,Q11_3,Q19_1,Q19_2,Q19_3,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your current year of study at Fresno Pacific University?,How many years have you been at Fresno Pacific University?,Are you the first person in your family to go to college?,Do you live on campus or do you commute?,As a commuter do you prefer coming to campus 2 days a week (Tuesday/Thursday) or 3 days a week (Monday/Wednesday/ Friday) for class?,"How long does it take you to get to campus? (Answer in minutes using whole numbers, no words)",Do you have a job?,Is your job on campus or off campus?,"How many hours do you work each week? (Please use whole numbers, no words)",Which days of the week do you work?,Are you an FPU Student-Athlete?,"Would you be willing to start your school day earlier if it meant you could finish sooner? (7:30AM to 2:00PM, for example)?",Would you prefer to take longer format courses (3 + hours) during the day or at night once a week?,"Hybrid courses are courses in which you meet in-person and online, usually alternating days. A hybrid course might meet in-person on campus on Tuesday and then again online for Thursday's class. Given the opportunity, would you be interested in taking hybrid courses?","For online classes, do you prefer that they have a zoom component (Meet live online through zoom for part of the course) or that it's completely asynchronous (Course runs without any meeting times)?","Approximately how many times have you taken the following types of courses? (If it's more than 10, just indicate 10) - Hybrid courses","Approximately how many times have you taken the following types of courses? (If it's more than 10, just indicate 10) - Online courses","Approximately how many times have you taken the following types of courses? (If it's more than 10, just indicate 10) - In person courses",Rank your preferences from 0 to 10 for the following types of courses - Hybrid courses,Rank your preferences from 0 to 10 for the following types of courses - Online courses,Rank your preferences from 0 to 10 for the following types of courses - In person courses,"Based on the previous question, why do you prefer certain types of courses?"
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID2""}","{""ImportId"":""QID14""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID13""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID12_TEXT""}"
9/9/24 9:19,9/9/24 9:20,IP Address,104.28.123.71,100,65,TRUE,9/9/24 9:20,R_7G7A33HdCWf5q3X,,,,,36.7537,-119.7627,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
9/9/24 9:38,9/9/24 9:40,IP Address,162.212.34.203,100,111,TRUE,9/9/24 9:40,R_7bHNLLDXbSBlhk4,,,,,36.7405,-119.7508,anonymous,EN,Senior,4 Years,Yes,I live on campus,,,Yes,On campus,10,"Monday,Tuesday,Wednesday,Thursday",No,No,No preference,Definitely yes,I prefer completely asynchronous courses,2,2,10,7,10,5,
9/9/24 9:38,9/9/24 9:41,IP Address,162.212.34.215,100,166,TRUE,9/9/24 9:41,R_6k66TPBW6EFgIqU,,,,,36.7405,-119.7508,anonymous,EN,Freshman,Less than a year,No,I live on campus,,,No,,,,No,No,At night,Definitely not,I prefer a zoom component,,,5,,5,10,
9/9/24 9:40,9/9/24 9:43,IP Address,162.212.34.210,100,169,TRUE,9/9/24 9:43,R_17k9bHcoTa2UQ17,,,,,36.7405,-119.7508,anonymous,EN,Senior,1 Year,Yes,I commute to campus,I prefer Tuesday/Thursday classes,30,Yes,Off campus,24+,"Sunday,Monday,Wednesday,Friday,Saturday",Yes,Yes,During the day,Might or might not,I prefer a zoom component,2,5,10,2,3,10,Better lectures 
9/9/24 9:41,9/9/24 9:43,IP Address,162.212.34.207,100,102,TRUE,9/9/24 9:43,R_1isalfV8DY1J5j5,,,,,36.7405,-119.7508,anonymous,EN,Senior,2 Years,No,I live on campus,,,Yes,On campus,6,"Monday,Wednesday",No,Yes,No preference,Definitely yes,I prefer a zoom component,3,7,10,6,7,5,"Basically, they seem easier, even when they aren't, because there's a little less constant pressure."
9/9/24 9:42,9/9/24 9:44,IP Address,162.212.34.211,100,141,TRUE,9/9/24 9:44,R_1c9zDuim4dDSEMN,,,,,36.7405,-119.7508,anonymous,EN,Freshman,Less than a year,Yes,I commute to campus,"No preference, both work for me",25 minutes ,No,,,,Yes,Yes,During the day,Probably not,I prefer a zoom component,0,0,6,4,1,10,I just like being able questions in person and during the class time. I learn better when I’m directly in the classroom 
9/9/24 9:43,9/9/24 9:45,IP Address,162.212.34.224,100,110,TRUE,9/9/24 9:45,R_5dWbOFxXMHBZlZh,,,,,36.7405,-119.7508,anonymous,EN,Sophmore,1 Year,No,I live on campus,,,Yes,On campus,4,"Thursday,Friday",Yes,No,During the day,Definitely yes,I prefer completely asynchronous courses,0,1,10,4,3,5,
9/9/24 9:44,9/9/24 9:46,IP Address,104.28.85.93,100,114,TRUE,9/9/24 9:46,R_7iUuG3giAHVLOUn,,,,,36.7537,-119.7627,anonymous,EN,Senior,4 Years,Yes,I commute to campus,I prefer Tuesday/Thursday classes,20 minutes ,Yes,On campus,20,"Monday,Tuesday,Wednesday,Thursday",No,Yes,During the day,Definitely yes,I prefer completely asynchronous courses,,2,10,3,9,5,
